,ITA,sR,sG,sB,CIE-b*,CIE-L*,CIE-a*,Fitzpatrick Type,S_700nm
0,-67.30666666666666,92.66666666666667,65.66666666666667,56.666666666666664,8.093333333333334,30.62,6.903333333333333,6,0.1283258004021577
1,-61.59799999999999,95.59999999999998,65.4,53.6,10.398,30.718,7.861999999999999,6,0.16081237942205193
2,-59.24666666666667,96.0,65.33333333333333,52.666666666666664,11.4,30.840000000000003,7.96,6,0.12580178484376228
3,-59.23600000000001,98.8,67.4,55.20000000000001,10.794000000000002,31.76,8.15,5,0.11475414804668803
4,-53.405999999999985,102.59999999999998,66.8,52.4,13.288000000000002,32.08200000000001,9.772,6,0.14969530382670634
5,-40.910000000000004,114.33333333333333,77.0,57.666666666666664,15.796666666666667,36.29,9.353333333333333,6,0.16119366483835765
6,-33.977999999999994,121.2,79.6,57.6,17.938,37.910000000000004,10.857999999999999,6,0.11114314541350352
7,-24.828,134.2,92.0,73.4,15.071999999999997,43.07,10.308,5,0.08396580949005093
8,-20.208,136.8,92.0,69.6,18.046,43.356,11.086,4,0.08197678744988753
9,-16.991999999999997,139.6,94.2,70.6,18.72,44.278,10.943999999999997,5,0.08792694913586858
10,-14.976666666666667,139.66666666666666,96.66666666666667,70.66666666666667,19.38,44.81,9.84,5,0.12442845842394214
11,-6.95,147.2,102.8,74.0,20.89,47.46200000000001,9.33,5,0.08790700176768801
12,-5.349999999999999,148.8,104.2,74.4,21.294,48.01399999999999,9.272,4,0.0877706669944835
13,0.07399999999999993,154.8,109.0,78.4,21.538,50.024,9.466,5,0.0802798003259929
14,1.09,153.6,110.59999999999998,82.2,19.972,50.39000000000001,8.426,4,0.056584861502083326
15,6.2200000000000015,161.0,114.8,84.0,21.522000000000002,52.35,9.254000000000001,4,0.05663693241085389
16,7.684,157.8,116.8,89.2,18.742,52.546000000000014,7.312,4,0.06536518402853318
17,14.013333333333335,164.33333333333331,118.5,97.83333333333333,15.364999999999997,53.86166666666667,10.053333333333333,Vitiligo,0.015013940984513563
18,17.108,169.4,124.8,96.2,19.356,55.955999999999996,8.254,3,0.03299690528819434
19,21.996,175.4,128.6,100.8,19.128,57.74400000000001,8.898,2,0.02032004215911616
20,23.471999999999998,172.6,132.2,102.0,19.078,58.315999999999995,5.938,4,0.042001428584502405
21,25.350000000000005,171.6,129.4,105.40000000000002,16.074,57.612,7.592000000000001,3,0.034931509249015606
22,26.893999999999995,172.4,131.8,106.8,16.412,58.342000000000006,6.489999999999999,2,0.011320245106155933
23,30.184000000000008,177.80000000000004,134.6,109.59999999999998,16.631999999999998,59.67600000000001,7.502,3,0.03568171580029241
24,30.570000000000004,179.6,140.0,109.2,18.996000000000002,61.217999999999996,5.026,3,0.027873112845325662
25,33.54,179.80000000000004,137.6,113.0,16.096,60.668000000000006,6.831999999999998,3,0.021859651454873074
26,36.326,181.19999999999996,144.6,115.59999999999998,17.234,62.684000000000005,3.94,3,0.024859817651195684
27,37.52333333333333,173.0,136.66666666666666,116.33333333333333,12.85,59.873333333333335,5.18,Vitiligo,0.017283865081976654
28,38.072,182.6,140.8,117.40000000000002,15.185999999999998,61.886,6.909999999999999,2,0.019568667619351266
29,38.54,176.6,137.2,117.40000000000002,12.998,60.364,6.481999999999999,2,0.021257057945011284
30,39.056,187.19999999999996,145.2,118.8,16.726,63.589999999999996,6.2,1,0.017310540096688722
31,39.17333333333334,178.66666666666666,139.33333333333334,118.33333333333333,13.663333333333334,61.14666666666667,6.0633333333333335,Vitiligo,0.02661597006765873
32,42.085,176.33333333333334,143.33333333333334,120.66666666666667,13.346666666666666,61.97,3.3333333333333335,1,0.006320422862049021
33,42.494,181.80000000000004,135.0,120.59999999999998,11.384,60.472,10.128,1,0.011130320312010953
34,44.928,179.0,141.8,123.0,11.934000000000003,61.876,5.5200000000000005,Vitiligo,0.0070407027006538685
35,45.556000000000004,187.6,146.2,125.2,13.719999999999999,63.984,6.646000000000001,1,0.010500674009764807
36,46.186,180.0,144.4,124.59999999999998,12.216,62.75599999999999,4.614,1,0.018559029097584796
37,51.15699999999999,183.69999999999996,143.60000000000002,128.29999999999998,10.43,62.993,6.993000000000001,Vitiligo,0.010622006838284091
38,51.98999999999999,188.80000000000004,149.4,131.0,11.76,65.00399999999999,6.142,1,0.0105929448057209
39,52.89666666666667,184.0,155.0,132.66666666666666,12.066666666666668,65.97333333333333,1.4633333333333332,Vitiligo,0.021776464731852022
40,54.196000000000005,187.80000000000004,149.2,132.6,10.72,64.894,6.008,2,0.023955070704211472
