,SkinID,PairedPigment,ITA,PA 700 nm
0,SKIN28,Not Pigmented,66.53,0.0051813254452707826
1,SKIN28,Pigmented,42.956,0.010050220273529156
2,SKIN30,Not Pigmented,65.896,0.011324773777396768
3,SKIN30,Pigmented,55.23599999999999,0.011369720991377646
4,SKIN33,Pigmented,47.48666666666667,0.011667734131439267
5,SKIN33,Not Pigmented,63.95666666666667,0.010520204361756649
6,SKIN34,Pigmented,42.11333333333334,0.014930895941920779
7,SKIN34,Not Pigmented,68.81,0.013541063505822232
8,SKIN36,Not Pigmented,26.936666666666667,0.007619532619721365
9,SKIN36,Pigmented,1.0899999999999999,0.021283025965305496
10,SKIN37,Pigmented,33.82666666666666,0.015036365738704545
11,SKIN37,Not Pigmented,55.473333333333336,0.013371937339006249
