,ITA,SSIM
0,70.37,0.9999855359395345
1,70.37,0.9999856948852539
2,70.37,0.9999864101409912
3,70.37,0.9999849001566569
4,70.37,0.9999855359395345
5,70.37,0.9999841054280599
6,70.37,0.999982992808024
7,70.37,0.9999814033508301
8,70.37,0.9999741713205973
9,70.37,0.9999788602193197
10,70.37,0.9999787012736002
11,70.37,0.9999786218007406
12,70.37,0.9999740123748779
52,56.25599999999999,0.9999858538309733
53,56.25599999999999,0.9999856948852539
54,56.25599999999999,0.9999870459238688
55,56.25599999999999,0.9999846617380778
56,56.25599999999999,0.999986489613851
57,56.25599999999999,0.999988873799642
58,56.25599999999999,0.9999893506368002
59,56.25599999999999,0.9999884764353434
60,56.25599999999999,0.9999853769938151
61,56.25599999999999,0.9999868075052897
62,56.25599999999999,0.9999876817067465
63,56.25599999999999,0.9999850591023763
64,56.25599999999999,0.9999822775522867
104,49.412,0.9999868075052897
105,49.412,0.9999861717224121
106,49.412,0.9999866485595703
107,49.412,0.999985933303833
108,49.412,0.999985933303833
109,49.412,0.9999896685282389
110,49.412,0.9999905427296957
111,49.412,0.9999887148539225
112,49.412,0.99998672803243
113,49.412,0.999986489613851
114,49.412,0.9999850591023763
115,49.412,0.9999849001566569
116,49.412,0.9999772707621256
156,41.098,0.9999903837839762
157,41.098,0.9999899864196777
158,41.098,0.9999900658925375
159,41.098,0.9999890327453613
160,41.098,0.9999891122182211
161,41.098,0.9999925295511881
162,41.098,0.9999929269154867
163,41.098,0.999991257985433
164,41.098,0.9999901453653971
165,41.098,0.9999901453653971
166,41.098,0.9999909400939941
167,41.098,0.9999903837839762
168,41.098,0.9999870459238688
208,51.318000000000005,0.999986489613851
209,51.318000000000005,0.9999863306681315
210,51.318000000000005,0.9999849796295166
211,51.318000000000005,0.9999845822652181
212,51.318000000000005,0.9999837875366211
213,51.318000000000005,0.9999790986378988
214,51.318000000000005,0.9999783039093018
215,51.318000000000005,0.9999770323435465
216,51.318000000000005,0.9999772707621256
217,51.318000000000005,0.9999753634134928
218,51.318000000000005,0.9999805291493734
219,51.318000000000005,0.9999796549479166
220,51.318000000000005,0.9999689261118571
260,52.444,0.9999883969624838
261,52.444,0.9999881585439047
262,52.444,0.9999893506368002
263,52.444,0.9999878406524658
264,52.444,0.9999883969624838
265,52.444,0.9999914169311523
266,52.444,0.9999896685282389
267,52.444,0.9999897480010986
268,52.444,0.9999887943267822
269,52.444,0.9999880790710449
270,52.444,0.9999887148539225
271,52.444,0.9999899864196777
272,52.444,0.9999898274739584
312,42.734,0.9999861717224121
313,42.734,0.9999860127766927
314,42.734,0.9999850591023763
315,42.734,0.999983549118042
316,42.734,0.9999831517537435
317,42.734,0.9999870459238688
318,42.734,0.9999887148539225
319,42.734,0.9999858538309733
320,42.734,0.9999857743581136
321,42.734,0.9999856154123942
322,42.734,0.9999836285909017
323,42.734,0.9999825954437256
324,42.734,0.9999825954437256
364,-15.498000000000001,0.9999903043111166
365,-15.498000000000001,0.999989906946818
366,-15.498000000000001,0.9999896685282389
367,-15.498000000000001,0.9999899864196777
368,-15.498000000000001,0.9999876817067465
369,-15.498000000000001,0.9999845027923584
370,-15.498000000000001,0.9999831517537435
371,-15.498000000000001,0.9999797344207764
372,-15.498000000000001,0.9999760786692301
373,-15.498000000000001,0.9999698797861735
374,-15.498000000000001,0.9999789396921793
375,-15.498000000000001,0.9999767939249674
376,-15.498000000000001,0.9999769528706869
416,9.376,0.9999947547912598
417,9.376,0.9999941190083822
418,9.376,0.9999934832255045
419,9.376,0.9999926884969076
420,9.376,0.9999910195668539
421,9.376,0.9999886353810629
422,9.376,0.9999871253967285
423,9.376,0.9999883969624838
424,9.376,0.9999877611796061
425,9.376,0.9999889532725016
426,9.376,0.9999884764353434
427,9.376,0.9999878406524658
428,9.376,0.999986489613851
468,42.734,0.999988873799642
469,42.734,0.9999884764353434
470,42.734,0.9999882380167643
471,42.734,0.999987522761027
472,42.734,0.9999872048695883
473,42.734,0.999985933303833
474,42.734,0.9999848206837972
475,42.734,0.9999848206837972
476,42.734,0.9999824364980062
477,42.734,0.9999832312266032
478,42.734,0.9999844233194987
479,42.734,0.9999849001566569
480,42.734,0.9999802112579346
520,14.658000000000001,0.9999873638153076
521,14.658000000000001,0.9999864101409912
522,14.658000000000001,0.9999849001566569
523,14.658000000000001,0.9999845027923584
524,14.658000000000001,0.9999826749165853
525,14.658000000000001,0.9999847412109375
526,14.658000000000001,0.9999820391337076
527,14.658000000000001,0.9999799728393555
528,14.658000000000001,0.9999713102976481
529,14.658000000000001,0.9999716281890869
530,14.658000000000001,0.9999761581420898
531,14.658000000000001,0.9999789396921793
532,14.658000000000001,0.9999693234761556
572,67.998,0.999985138575236
573,67.998,0.9999847412109375
574,67.998,0.999985933303833
575,67.998,0.9999842643737793
576,67.998,0.9999849796295166
577,67.998,0.9999869664510092
578,67.998,0.9999860127766927
579,67.998,0.9999824364980062
580,67.998,0.9999773502349854
581,67.998,0.9999794960021973
582,67.998,0.9999810854593912
583,67.998,0.9999825954437256
584,67.998,0.9999777475992838
624,40.146,0.9999871253967285
625,40.146,0.9999863505363464
626,40.146,0.9999861717224121
627,40.146,0.9999860525131226
628,40.146,0.9999843239784241
629,40.146,0.999985933303833
630,40.146,0.9999829530715942
631,40.146,0.9999828338623047
632,40.146,0.9999789595603943
633,40.146,0.9999796748161316
634,40.146,0.9999731779098511
635,40.146,0.9999802708625793
636,40.146,0.9999813437461853
637,3.8020000000000005,0.9999945958455404
638,3.8020000000000005,0.9999941190083822
639,3.8020000000000005,0.9999938011169434
640,3.8020000000000005,0.9999923706054688
641,3.8020000000000005,0.9999910990397135
642,3.8020000000000005,0.9999919732411703
643,3.8020000000000005,0.9999915758768717
644,3.8020000000000005,0.9999916553497314
645,3.8020000000000005,0.9999891122182211
646,3.8020000000000005,0.9999889532725016
647,3.8020000000000005,0.9999895890553793
648,3.8020000000000005,0.9999897480010986
649,3.8020000000000005,0.9999845027923584
689,32.224000000000004,0.9999881585439047
690,32.224000000000004,0.999987522761027
691,32.224000000000004,0.9999872843424479
692,32.224000000000004,0.9999852180480957
693,32.224000000000004,0.9999846617380778
694,32.224000000000004,0.9999887148539225
695,32.224000000000004,0.9999877611796061
696,32.224000000000004,0.9999874432881674
697,32.224000000000004,0.9999839464823405
698,32.224000000000004,0.9999838670094808
699,32.224000000000004,0.9999847412109375
700,32.224000000000004,0.9999823570251465
701,32.224000000000004,0.9999790986378988
741,50.339999999999996,0.9999880790710449
742,50.339999999999996,0.999987522761027
743,50.339999999999996,0.9999874432881674
744,50.339999999999996,0.9999863306681315
745,50.339999999999996,0.9999847412109375
746,50.339999999999996,0.9999815622965494
747,50.339999999999996,0.9999816417694092
748,50.339999999999996,0.9999772707621256
749,50.339999999999996,0.9999739329020182
750,50.339999999999996,0.9999701182047526
751,50.339999999999996,0.9999703566233317
752,50.339999999999996,0.9999709129333496
753,50.339999999999996,0.9999709924062093
793,17.034,0.9999922116597494
794,17.034,0.9999918937683105
795,17.034,0.9999917348225912
796,17.034,0.9999906222025553
797,17.034,0.9999889532725016
798,17.034,0.9999876817067465
799,17.034,0.9999860922495524
800,17.034,0.9999837875366211
801,17.034,0.9999809265136719
802,17.034,0.9999850591023763
803,17.034,0.9999850591023763
804,17.034,0.9999821980794271
805,17.034,0.9999752044677734
845,20.59,0.9999899864196777
846,20.59,0.9999887148539225
847,20.59,0.9999876817067465
848,20.59,0.9999853769938151
849,20.59,0.9999841054280599
850,20.59,0.9999813238779703
851,20.59,0.9999779860178629
852,20.59,0.9999814033508301
853,20.59,0.9999805291493734
854,20.59,0.9999780654907227
855,20.59,0.9999775886535645
856,20.59,0.9999780654907227
857,20.59,0.9999756813049316
897,-31.844,0.9999905427296957
898,-31.844,0.9999907811482748
899,-31.844,0.9999914964040121
900,-31.844,0.9999926090240479
901,-31.844,0.9999932448069254
902,-31.844,0.9999927679697672
903,-31.844,0.9999926884969076
904,-31.844,0.9999894301096598
905,-31.844,0.9999838670094808
906,-31.844,0.9999853769938151
907,-31.844,0.9999885559082031
908,-31.844,0.9999872048695883
909,-31.844,0.999981164932251
949,61.158,0.9999863306681315
950,61.158,0.9999862511952718
951,61.158,0.9999877611796061
952,61.158,0.9999864101409912
953,61.158,0.9999874432881674
954,61.158,0.9999919732411703
955,61.158,0.999992291132609
956,61.158,0.9999886353810629
957,61.158,0.9999858538309733
958,61.158,0.9999866485595703
959,61.158,0.9999869664510092
960,61.158,0.9999868869781494
961,61.158,0.9999887943267822
1001,50.612,0.9999860127766927
1002,50.612,0.999985138575236
1003,50.612,0.9999852180480957
1004,50.612,0.9999833106994629
1005,50.612,0.9999831517537435
1006,50.612,0.9999831517537435
1007,50.612,0.9999798138936361
1008,50.612,0.9999802907307943
1009,50.612,0.9999794165293375
