,SkinID,Label,ITA,Wavelengths,Max,Min,FractionClipped,AnyClipping
0,SKIN01,Bicep,70.37,700,2505.1111111111113,1700.6666666666667,0.0,0.0
13,SKIN01,Neck,54.196000000000005,700,3041.9,1140.2,0.0,0.0
26,SKIN01,Leg,61.702,700,2723.8888888888887,1225.2222222222222,0.0,0.0
39,SKIN01,Forearm,64.518,700,2549.222222222222,1766.7777777777778,0.0,0.0
1,SKIN01,Bicep,70.37,730,2503.1111111111113,1727.888888888889,0.0,0.0
14,SKIN01,Neck,54.196000000000005,730,2947.9,1228.4,0.0,0.0
27,SKIN01,Leg,61.702,730,2677.5555555555557,1301.111111111111,0.0,0.0
40,SKIN01,Forearm,64.518,730,2588.1111111111113,1760.6666666666667,0.0,0.0
2,SKIN01,Bicep,70.37,760,2434.1111111111113,1779.4444444444443,0.0,0.0
15,SKIN01,Neck,54.196000000000005,760,2788.2,1402.9,0.0,0.0
28,SKIN01,Leg,61.702,760,2554.6666666666665,1453.111111111111,0.0,0.0
41,SKIN01,Forearm,64.518,760,2579.4444444444443,1729.7777777777778,0.0,0.0
3,SKIN01,Bicep,70.37,800,2385.8888888888887,1829.5555555555557,0.0,0.0
16,SKIN01,Neck,54.196000000000005,800,2683.2,1531.0,0.0,0.0
29,SKIN01,Leg,61.702,800,2480.8888888888887,1588.7777777777778,0.0,0.0
42,SKIN01,Forearm,64.518,800,2606.3333333333335,1727.6666666666667,0.0,0.0
4,SKIN01,Bicep,70.37,850,2330.4444444444443,1857.111111111111,0.0,0.0
17,SKIN01,Neck,54.196000000000005,850,2509.2,1657.1,0.0,0.0
30,SKIN01,Leg,61.702,850,2402.4444444444443,1731.6666666666667,0.0,0.0
43,SKIN01,Forearm,64.518,850,2614.222222222222,1730.111111111111,0.0,0.0
5,SKIN01,Bicep,70.37,910,2412.5555555555557,1840.111111111111,0.0,0.0
18,SKIN01,Neck,54.196000000000005,910,2441.7,1749.2,0.0,0.0
31,SKIN01,Leg,61.702,910,2429.3333333333335,1836.4444444444443,0.0,0.0
44,SKIN01,Forearm,64.518,910,2529.8888888888887,1774.5555555555557,0.0,0.0
6,SKIN01,Bicep,70.37,930,2510.5555555555557,1775.0,0.0,0.0
19,SKIN01,Neck,54.196000000000005,930,2565.5,1765.2,0.0,0.0
32,SKIN01,Leg,61.702,930,2534.777777777778,1837.4444444444443,0.0,0.0
45,SKIN01,Forearm,64.518,930,2576.222222222222,1780.5555555555557,0.0,0.0
7,SKIN01,Bicep,70.37,950,2347.777777777778,1888.0,0.0,0.0
20,SKIN01,Neck,54.196000000000005,950,2419.7,1799.1,0.0,0.0
33,SKIN01,Leg,61.702,950,2373.5555555555557,1843.5555555555557,0.0,0.0
46,SKIN01,Forearm,64.518,950,2467.3333333333335,1830.7777777777778,0.0,0.0
8,SKIN01,Bicep,70.37,980,2406.777777777778,1880.7777777777778,0.0,0.0
21,SKIN01,Neck,54.196000000000005,980,2510.2,1825.3,0.0,0.0
34,SKIN01,Leg,61.702,980,2448.3333333333335,1821.3333333333333,0.0,0.0
47,SKIN01,Forearm,64.518,980,2527.5555555555557,1857.111111111111,0.0,0.0
9,SKIN01,Bicep,70.37,1030,2325.777777777778,1937.111111111111,0.0,0.0
22,SKIN01,Neck,54.196000000000005,1030,2323.3,1914.2,0.0,0.0
35,SKIN01,Leg,61.702,1030,2330.3333333333335,1949.7777777777778,0.0,0.0
48,SKIN01,Forearm,64.518,1030,2365.3333333333335,1913.111111111111,0.0,0.0
10,SKIN01,Bicep,70.37,1080,2292.6666666666665,1968.5555555555557,0.0,0.0
23,SKIN01,Neck,54.196000000000005,1080,2295.4,1957.8,0.0,0.0
36,SKIN01,Leg,61.702,1080,2291.777777777778,1969.888888888889,0.0,0.0
49,SKIN01,Forearm,64.518,1080,2322.6666666666665,1950.7777777777778,0.0,0.0
11,SKIN01,Bicep,70.37,1100,2297.777777777778,1973.3333333333333,0.0,0.0
24,SKIN01,Neck,54.196000000000005,1100,2307.8,1969.7,0.0,0.0
37,SKIN01,Leg,61.702,1100,2302.6666666666665,1972.5555555555557,0.0,0.0
50,SKIN01,Forearm,64.518,1100,2323.0,1968.6666666666667,0.0,0.0
12,SKIN01,Bicep,70.37,1210,2568.222222222222,1766.888888888889,0.0,0.0
25,SKIN01,Neck,54.196000000000005,1210,2590.3,1804.4,0.0,0.0
38,SKIN01,Leg,61.702,1210,2577.777777777778,1821.5555555555557,0.0,0.0
51,SKIN01,Forearm,64.518,1210,2588.8888888888887,1823.3333333333333,0.0,0.0
52,SKIN02,Bicep,56.25599999999999,700,2499.1111111111113,1640.4444444444443,0.0,0.0
65,SKIN02,Neck,38.54,700,3013.5,1241.2,0.0,0.0
78,SKIN02,Leg,54.89,700,2884.222222222222,1374.0,0.0,0.0
91,SKIN02,Forearm,47.056,700,3013.6666666666665,1103.888888888889,0.0,0.0
53,SKIN02,Bicep,56.25599999999999,730,2454.5555555555557,1714.4444444444443,0.0,0.0
66,SKIN02,Neck,38.54,730,2945.7,1282.1,0.0,0.0
79,SKIN02,Leg,54.89,730,2802.777777777778,1473.0,0.0,0.0
