,low,high
0,4095,4095
1,2383,2831
2,2377,2640
3,2250,2327
4,2169,2022
5,2078,1841
6,2014,1761
7,2045,1812
8,2072,2048
9,2172,2238
10,2180,2271
11,2205,2317
12,2204,2307
13,2198,2248
14,2170,2164
15,2151,2124
16,2150,2152
17,2152,2168
18,2156,2142
19,2160,2107
20,2140,2117
21,2142,2143
22,2139,2135
23,2144,2136
24,2154,2154
25,2162,2169
26,2162,2178
27,2159,2170
28,2156,2152
29,2151,2144
30,2155,2144
31,2152,2137
32,2144,2134
33,2160,2134
34,2157,2149
35,2157,2159
36,2165,2149
37,2160,2144
38,2155,2143
39,2152,2144
40,2158,2139
41,2156,2136
42,2156,2133
43,2161,2146
44,2158,2157
45,2153,2157
46,2162,2159
47,2153,2157
48,2152,2149
49,2159,2147
50,2156,2146
51,2154,2144
52,2157,2147
53,2153,2145
54,2157,2145
55,2155,2145
56,2156,2146
57,2152,2146
58,2157,2145
59,2164,2142
60,2158,2151
61,2161,2155
62,2160,2153
63,2163,2154
64,2168,2157
65,2152,2155
66,2147,2160
67,2150,2158
68,2159,2170
69,2167,2163
70,2165,2161
71,2166,2158
72,2165,2162
73,2159,2164
74,2162,2164
75,2164,2169
76,2163,2164
77,2169,2160
78,2170,2161
79,2172,2165
80,2163,2161
81,2171,2156
82,2168,2156
83,2162,2161
84,2170,2163
85,2163,2163
86,2161,2175
87,2166,2158
88,2166,2160
89,2170,2153
90,2171,2161
91,2167,2164
92,2164,2161
93,2168,2162
94,2166,2166
95,2165,2170
96,2171,2169
97,2175,2174
98,2170,2165
99,2168,2169
100,2172,2170
101,2163,2168
102,2163,2170
103,2178,2166
104,2178,2170
105,2168,2173
106,2168,2178
107,2168,2174
108,2166,2180
109,2166,2182
110,2167,2169
111,2176,2169
112,2164,2171
113,2164,2170
114,2169,2168
115,2164,2171
116,2164,2174
117,2162,2167
118,2165,2161
119,2171,2166
120,2175,2174
121,2176,2174
122,2177,2158
123,2164,2158
124,2171,2166
125,2171,2166
126,2175,2168
127,2169,2170
128,2160,2167
129,2171,2165
130,2170,2164
131,2173,2166
132,2174,2162
133,2176,2168
134,2162,2166
135,2161,2170
136,2162,2170
137,2165,2166
138,2169,2159
139,2173,2165
140,2168,2169
141,2166,2173
142,2170,2173
143,2165,2172
144,2166,2174
145,2171,2171
146,2166,2170
147,2161,2171
148,2159,2175
149,2163,2169
150,2159,2172
151,2163,2172
152,2165,2177
153,2168,2179
154,2164,2173
155,2166,2169
156,2170,2170
157,2167,2168
158,2172,2163
159,2174,2164
160,2174,2170
161,2169,2176
162,2174,2175
163,2171,2172
164,2174,2170
165,2158,2167
166,2165,2165
167,2164,2173
168,2166,2169
169,2174,2168
170,2167,2166
171,2168,2169
172,2169,2173
173,2173,2168
174,2173,2168
175,2165,2178
176,2158,2174
177,2157,2173
178,2164,2173
179,2168,2176
180,2170,2166
181,2163,2162
182,2165,2171
183,2171,2173
184,2169,2167
185,2163,2171
186,2161,2177
187,2164,2168
188,2174,2169
189,2163,2179
190,2154,2169
191,2161,2164
192,2164,2172
193,2173,2177
194,2169,2174
195,2178,2173
196,2168,2174
197,2180,2169
198,2171,2174
199,2178,2177
200,2164,2175
201,2181,2176
202,2172,2174
203,2177,2177
204,2181,2174
205,2172,2177
206,2177,2181
207,2170,2179
208,2183,2180
209,2174,2173
210,2173,2178
211,2166,2174
212,2165,2176
213,2175,2177
214,2172,2174
215,2171,2179
216,2172,2181
217,2168,2177
218,2171,2167
219,2176,2174
220,2174,2176
221,2165,2168
222,2169,2173
223,2169,2176
224,2178,2179
225,2177,2178
226,2172,2175
227,2181,2178
228,2180,2180
229,2174,2183
230,2177,2178
231,2171,2177
232,2176,2189
233,2171,2183
234,2169,2171
235,2160,2181
236,2169,2179
237,2177,2173
238,2174,2173
239,2165,2175
240,2170,2176
241,2173,2175
242,2176,2177
243,2179,2174
244,2175,2172
245,2170,2166
246,2174,2166
247,2167,2178
248,2160,2183
249,2171,2177
250,2168,2173
251,2169,2175
252,2175,2176
253,2166,2177
254,2167,2169
255,2176,2175
256,2170,2177
257,2164,2177
258,2165,2176
259,2166,2180
260,2167,2175
261,2172,2180
262,2169,2183
263,2169,2180
264,2172,2181
265,2169,2189
266,2168,2191
267,2173,2182
268,2171,2184
269,2165,2185
270,2172,2191
271,2161,2194
272,2168,2196
273,2175,2191
274,2171,2189
275,2170,2186
276,2176,2185
277,2175,2183
278,2171,2184
279,2175,2191
280,2176,2187
281,2169,2184
282,2175,2182
283,2180,2185
284,2176,2180
285,2175,2182
286,2173,2185
287,2174,2186
288,2178,2186
289,2176,2180
290,2176,2179
291,2170,2185
292,2166,2190
293,2176,2183
294,2175,2184
295,2168,2186
296,2168,2181
297,2175,2177
298,2172,2182
299,2170,2184
300,2168,2178
301,2162,2188
302,2170,2189
303,2175,2190
304,2176,2188
305,2177,2185
306,2174,2191
307,2171,2193
308,2173,2190
309,2177,2188
310,2180,2192
311,2165,2192
312,2173,2189
313,2173,2187
314,2182,2192
315,2171,2184
316,2175,2184
317,2168,2190
318,2185,2193
319,2176,2192
320,2178,2190
321,2174,2190
322,2175,2181
323,2186,2176
324,2181,2178
325,2172,2183
326,2172,2186
327,2172,2185
328,2168,2183
329,2173,2188
330,2175,2183
331,2168,2177
332,2178,2180
333,2171,2187
334,2168,2187
335,2168,2179
336,2178,2175
337,2175,2177
338,2177,2183
339,2178,2187
340,2171,2188
341,2179,2186
342,2175,2184
343,2178,2185
344,2178,2182
345,2174,2183
346,2173,2186
347,2179,2193
348,2179,2189
349,2178,2188
350,2175,2190
351,2168,2191
352,2174,2191
353,2179,2187
354,2180,2185
355,2182,2188
356,2176,2186
357,2179,2186
358,2186,2185
359,2180,2191
360,2173,2189
361,2174,2184
362,2187,2187
363,2180,2184
364,2180,2187
365,2181,2188
366,2177,2179
367,2177,2180
368,2186,2190
369,2179,2183
370,2173,2172
371,2173,2180
372,2173,2191
373,2183,2183
374,2185,2187
375,2172,2180
376,2176,2183
377,2176,2175
378,2168,2180
379,2169,2188
380,2171,2190
381,2173,2187
382,2176,2184
383,2178,2189
384,2181,2180
385,2167,2178
386,2173,2183
387,2170,2187
388,2162,2194
389,2169,2188
390,2169,2186
391,2173,2181
392,2172,2183
393,2172,2183
394,2163,2186
395,2164,2180
396,2168,2184
397,2178,2181
398,2175,2188
399,2179,2185
400,2177,2182
401,2177,2183
402,2174,2180
403,2177,2185
404,2178,2183
405,2176,2179
406,2170,2173
407,2172,2177
408,2177,2184
409,2169,2172
410,2172,2182
411,2172,2176
412,2174,2183
413,2172,2180
414,2171,2178
415,2173,2174
416,2170,2177
417,2167,2184
418,2167,2184
419,2174,2181
420,2176,2175
421,2166,2177
422,2161,2182
423,2170,2189
424,2172,2185
425,2171,2179
426,2167,2185
427,2173,2178
428,2177,2182
429,2178,2180
430,2171,2182
431,2170,2190
432,2173,2186
433,2168,2179
434,2171,2177
435,2179,2174
436,2176,2171
437,2165,2179
438,2167,2177
439,2175,2176
440,2177,2175
441,2167,2174
442,2173,2169
443,2176,2169
444,2172,2178
445,2171,2176
446,2171,2174
447,2167,2179
448,2173,2186
449,2178,2179
450,2176,2168
451,2181,2177
452,2180,2183
453,2173,2174
454,2174,2174
455,2165,2169
456,2161,2166
457,2165,2171
458,2168,2175
459,2167,2175
460,2169,2173
461,2164,2176
462,2174,2177
463,2172,2172
464,2168,2166
465,2168,2166
466,2164,2173
467,2164,2176
468,2175,2180
469,2173,2186
470,2168,2184
471,2168,2181
472,2165,2176
473,2163,2174
474,2159,2179
475,2155,2184
476,2161,2181
477,2160,2176
478,2160,2176
479,2169,2180
480,2171,2179
481,2165,2181
482,2172,2182
483,2175,2176
484,2168,2176
485,2169,2176
486,2168,2181
487,2164,2175
488,2161,2165
489,2163,2170
490,2158,2172
491,2153,2177
492,2153,2175
493,2164,2170
494,2168,2177
495,2167,2174
496,2166,2169
497,2164,2173
498,2166,2171
499,2165,2177
500,2160,2178
501,2161,2174
502,2163,2174
503,2165,2174
504,2165,2169
505,2163,2166
506,2167,2172
507,2169,2173
508,2163,2172
509,2160,2174
510,2159,2178
511,2161,2182
512,2158,2177
513,2163,2180
514,2165,2178
515,2159,2174
516,2161,2174
517,2172,2174
518,2166,2173
519,2167,2173
520,2168,2178
521,2178,2169
522,2163,2166
523,2161,2169
524,2163,2174
525,2168,2178
526,2165,2172
527,2167,2170
528,2177,2168
529,2168,2169
530,2168,2173
531,2168,2175
532,2164,2175
533,2163,2171
534,2165,2169
535,2161,2172
536,2153,2173
537,2162,2173
538,2171,2171
539,2167,2169
540,2169,2173
541,2173,2174
542,2163,2172
543,2165,2173
544,2165,2171
545,2163,2165
546,2161,2174
547,2163,2171
548,2159,2172
549,2164,2175
550,2159,2174
551,2156,2169
552,2163,2167
553,2157,2166
554,2161,2169
555,2163,2171
556,2159,2177
557,2158,2173
558,2158,2172
559,2166,2173
560,2168,2171
561,2169,2170
562,2169,2172
563,2164,2174
564,2170,2172
565,2172,2170
566,2160,2171
567,2160,2174
568,2163,2177
569,2163,2170
570,2169,2169
571,2163,2177
572,2159,2178
573,2159,2172
574,2162,2169
575,2167,2173
576,2166,2177
577,2167,2172
578,2165,2173
579,2162,2178
580,2164,2185
581,2163,2183
582,2160,2172
583,2163,2171
584,2163,2173
585,2156,2178
586,2163,2169
587,2161,2167
588,2163,2174
589,2163,2177
590,2163,2179
591,2164,2181
592,2159,2178
593,2154,2184
594,2157,2175
595,2161,2172
596,2168,2174
597,2161,2176
598,2162,2177
599,2154,2175
600,2167,2173
601,2158,2178
602,2165,2182
603,2157,2176
604,2158,2170
605,2165,2171
606,2163,2172
607,2169,2172
608,2162,2173
609,2171,2168
610,2165,2171
611,2168,2176
612,2164,2163
613,2168,2164
614,2160,2166
615,2165,2173
616,2151,2174
617,2164,2167
618,2157,2167
619,2160,2176
620,2156,2186
621,2157,2182
622,2158,2171
623,2167,2168
624,2164,2177
625,2171,2172
626,2168,2167
627,2160,2174
628,2157,2179
629,2154,2172
630,2155,2176
631,2155,2178
632,2157,2179
633,2158,2177
634,2160,2173
635,2160,2172
636,2155,2177
637,2158,2172
638,2160,2171
639,2154,2172
640,2157,2170
641,2154,2180
642,2158,2175
643,2166,2174
644,2162,2175
645,2159,2169
646,2168,2173
647,2164,2173
648,2158,2171
649,2159,2165
650,2153,2165
651,2157,2166
652,2157,2164
653,2151,2167
654,2158,2171
655,2161,2166
656,2155,2165
